品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
水果,21761260	,24400930	,30112280	,34997060	,42146270	,46528220	,50893220	,54528530	,62376430	,62251470	,114361600	,69519800	,75515220	,83941340	,88355020	,95992250	,105203200	,113389200	,122463900	,128652300	
香蕉,1981170	,2450988	,2700680	,2897832	,3125003	,2535591	,2892276	,3518175	,4194244	,4941004	,5272352	,5557297	,5903279	,6056148	,6518128	,6901249	,7796656	,7834672	,8833904	,9560522	
柿子,641576	,724329	,789113	,826870	,969353	,1025219	,1075417	,1314136	,1481327	,1591906	,1584665	,1740591	,1795110	,1998214	,2185041	,2320346	,2574143	,2710998	,2834165	,	
苹果,4540445	,6555836	,9030559	,11127940	,14010670	,17052250	,17218570	,19480720	,20801640	,20431230	,20014990	,19240980	,21101780	,23675470	,24011080	,26059300	,27859940	,29846610	,31680790	,33263290	
荔枝,186806	,306725	,	,	,	,	,	,	,	,	,953625	,1523165	,1123811	,1555803	,1440589	,1507978	,1707697	,1507266	,1695586	,1773945	
桃,	,	,	,	,	,	,	,	,	,	,4561893	,5230436	,6148100	,7010985	,7624207	,8214700	,9051774	,9534351	,10040200	,10456020	
菠萝,429222	,441682	,454748	,485019	,539408	,492766	,527288	,644925	,882616	,856517	,869049	,827307	,821868	,808254	,848902	,890701	,905090	,933633	,1042563	,1076042	
葡萄,915882	,1125102	,1354770	,1522083	,1741707	,1883137	,2032807	,2358179	,2708127	,3281698	,3679680	,4479453	,5175939	,5675318	,5794411	,6270756	,6696814	,7151484	,7940612	,8548946	
梨,2497760	,2846121	,3217170	,4042921	,4942445	,5806632	,6414877	,7275464	,7742331	,8412413	,8796097	,9309432	,9798424	,10642290	,11323510	,11986080	,12895010	,13538140	,14262980	,15057080	
龙眼,119976	,128491	,	,	,	,	,	,	,	,	,620689	,944165	,910874	,1018438	,1091485	,1107707	,1169740	,1270585	,1259799	,1312119	
红枣,449392	,488183	,522878	,650196	,782069	,778534	,936058	,1103613	,1103373	,1306036	,1308633	,1573698	,1718689	,2011217	,2488506	,3052860	,3030623	,3634071	,4247773	,4468335	
柑橘类,6332543	,5160081	,6560974	,6804545	,8221981	,8456586	,10102200	,8590360	,10787060	,8783129	,11606920	,11990070	,13453710	,14958300	,15919150	,17898330	,20582710	,23312580	,25211020	,26452450	
猕猴桃,	,	,	,	,	,	,	,	,	,	,241653	,283366	,330220	,409456	,456839	,523190	,578469	,673977	,875125	,1069794	
