品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,38.6,43,59.9,66.4,71,86.9,86.3,72.2,69.4,70.54,61.5,43.8,48.3,50.8,52.1,48.9,47.1,52.5,52.18,65.9
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,,,,,,,,,
苹果,13.3,15.7,20.3,26.54,,35.8,35.1,24,23.8,23.94,20.9,16.5,18.8,21.4,22.5,22.9,21.3,23.1,22.63,22.6
桃,,,,,,,,,,,,,,,,,,,,
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,1.5,1.1,2,2.27,,2.2,2.6,2.2,2.6,3.05,5.04,3.6,3.5,4.9,5.3,4.5,4.8,4.8,5.99,7.6
梨,12.4,14.2,16.3,22.54,,31,27.3,34.5,30.2,27.14,23.56,15.1,13.6,11.4,10.8,8.9,8.9,9.7,7.86,7.9
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,,,,,,,,,,
柑橘类,,,,,,,,,,,,,,,,,,,,
