品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,80842	,87902	,117799	,133820	,181500	,198456	,199543	,201176	,208067	,214463	,194739	,176919	,200875	,197762	,220332	,228962	,252248	,275943	,294503	,372502	
柿子,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
苹果,23307	,28956	,32591	,29844	,36113	,39200	,38439	,36729	,41757	,46853	,43081	,40350	,51940	,59327	,62319	,65961	,61672	,69919	,78576	,77676	
桃,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
菠萝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,6077	,5077	,10918	,11086	,12109	,12617	,15142	,16826	,14867	,15853	,16004	,14408	,20789	,23339	,29119	,35386	,40989	,40644	,46983	,53148	
梨,26635	,29891	,42126	,61584	,88372	,104341	,102115	,116421	,111872	,109605	,103160	,93676	,93020	,68425	,77602	,79391	,85216	,86612	,78399	,80319	
龙眼,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
红枣,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
猕猴桃,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
柑橘类,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
