品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,49.9,50.7,52.1,59.4,59.66,57.5,58.8,60.2,64,85.3,85.3,89.9,87.5,81.4,75.7,70,74.3,72.2,66.71,64.9
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,,,,,,,,,
苹果,18.7,20,21.1,23.7,,23.1,21,20.3,18.9,18,16,13.5,13.2,12.9,10.8,9.5,10.3,9.2,8.19,8.1
桃,,,,,,,,,,,16.39,17.6,17.4,16.8,17.4,17.9,22.7,22,21.67,20.9
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,1.5,1.3,1.3,1.3,,1.1,1.3,1.6,1.9,3.1,4.08,4.8,4.5,3.1,3.2,3,2.7,3,2.73,2.7
梨,7.7,7.8,7.5,8.2,,7.7,7.9,8.9,9.4,10,10.28,12.1,12.5,10.9,11.2,11,10.4,10.4,9.77,9.2
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,.19,,.4,.4,,,,.1,.04,
柑橘类,,,,,,,,,,,,,,,,,,,,
