品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,278423	,328720	,379416	,471974	,452400	,494626	,506785	,541057	,540577	,585907	,617851	,669097	,701240	,744069	,761188	,745639	,864014	,850899	,855022	,809914	
柿子,21935	,27868	,28894	,33751	,33157	,31474	,40204	,40781	,48979	,54561	,55561	,62934	,60361	,66579	,56871	,53030	,60127	,61366	,57295	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
苹果,74594	,91379	,106583	,125635	,133728	,172088	,153835	,162930	,151717	,157654	,153174	,144392	,134815	,134753	,138447	,131071	,119459	,120543	,119676	,103772	
桃,	,	,	,	,	,	,	,	,	,	,206335	,244870	,264585	,296409	,306210	,299783	,414913	,403630	,408517	,386227	
菠萝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,12784	,12986	,14034	,15911	,14542	,14440	,18310	,20318	,23070	,33961	,43361	,50972	,63053	,57700	,50559	,47377	,47486	,45112	,40618	,42140	
梨,68091	,67881	,76249	,107161	,92399	,90779	,94535	,105436	,98705	,102693	,115197	,125009	,130766	,137563	,145759	,153566	,154368	,151643	,155889	,158632	
龙眼,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
红枣,891	,1271	,1580	,1382	,1099	,462	,667	,745	,1265	,2038	,3076	,2985	,3656	,4349	,6950	,6522	,10431	,8384	,11333	,9513	
猕猴桃,	,	,	,	,	,	,	,	,	,	,25	,67	,39	,92	,78	,81	,91	,127	,123	,23	
柑橘类,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
