品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,60.8,68,74.7,80.24,93.7,98.4,98.25,101.7,102.81,115.35,161.6,105.9,95.3,74,67.8,65,60.4,63.4,57.86,58.7
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,,,,,,,,,
苹果,5.4,6.2,8.6,11.13,,20.5,19.6,20,18.83,24.07,22.2,26.1,25.3,20.4,18.6,17.7,14.2,14.5,13.39,13.7
桃,,,,,,,,,,,.09,.1,.3,.5,.2,.2,.2,.2,.35,.2
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,6.6,6.9,7.4,6.93,,7.7,7.89,8.6,9.3,11.82,9.75,12.7,13.8,10.6,10.2,11,11.1,12.4,11.21,11.8
梨,20.1,21.1,25,28.28,,51.1,34.42,34,36.06,39.95,36.3,30.6,26.3,21.4,17.8,17.1,16,16.6,15.43,15.9
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,,,,,,,,,,
柑橘类,,,,,,,,,,,,,,,,,,,,
