品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,130566	,145700	,181013	,186715	,279717	,310614	,374949	,455399	,496192	,485585	,2007909	,802758	,593805	,682977	,661950	,679522	,654267	,662850	,640620	,650780	
柿子,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
苹果,12338	,13990	,15011	,23218	,39276	,57618	,61705	,105877	,114604	,100543	,97164	,168372	,190133	,241491	,252298	,268055	,133153	,135219	,145764	,153521	
桃,	,	,	,	,	,	,	,	,	,	,290	,197	,391	,1121	,612	,676	,666	,678	,720	,1773	
菠萝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,20530	,26527	,32342	,37123	,45564	,46238	,44591	,50302	,52814	,65716	,62618	,79268	,107362	,108831	,109971	,110948	,138885	,131940	,144685	,152573	
梨,52889	,56432	,61845	,45330	,84241	,113390	,101042	,134799	,136699	,140779	,75508	,200593	,120215	,156736	,134833	,137690	,129540	,147119	,142198	,141429	
龙眼,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
红枣,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
猕猴桃,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
柑橘类,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
