品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,.5,.6,1.1,,.9,.8,.7,.8,.9,1,1.1,1.1,1.2,1.3,1.3,1.2,1.2,1.24,1.3
水果,240.5,247.3,270.6,287.45,296.4,313,242.7,240.4,270.2,306.1,323.1,370.2,418.2,444.1,462,477.9,499.7,509.5,537.07,552.3
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,1,1.3,1.6,1.7,2,2.2,2.3,2.5,2.85,3
苹果,26.1,26.1,29.3,32.94,,34.5,29.5,28.4,28.7,28.6,26.9,25.7,26.8,26.4,26.6,26.2,27.8,28.6,28.56,29.2
桃,,,,,,,,,,,19.2,24.7,28.7,31.9,34.2,36.5,40.9,43.4,43.8,45.1
菠萝,,,,,,,,,,,,,,.2,,,,,,
葡萄,,2.8,4.5,5.35,,5.8,5.3,5.1,6.4,7.7,9.1,9.8,11.1,11.7,12.1,12.9,13.4,14.8,16.21,18.2
梨,19,19.9,21.7,25.61,,32.6,25,27.8,34.2,48.2,25.3,61.9,71.2,78.9,83,80.5,82.3,83.3,84.04,82.7
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,5.71,6.4,6,6.3,6.7,7.7,11,11.1,13.81,19.7
柑橘类,171.7,175.9,185.9,188.34,,202.9,146.2,143,152.5,155.2,163.8,180.7,191.7,201.5,206.9,215.6,223.3,231.4,244.54,253.2
