品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,7013	,5550	,5845	,5511	,7533	,10256	,7149	,7374	,7771	,8464	,9658	,11814	,13768	,15776	,17547	,19112	,23087	,26539	,31499	,34326	
水果,1472332	,1505696	,1863594	,1868381	,2153153	,2251003	,1851311	,2129157	,2345280	,2525654	,2729028	,3066858	,3482104	,3854471	,4157550	,4238147	,4744533	,5170171	,5683280	,5995657	
柿子,	,14957	,15543	,18849	,17729	,19359	,17013	,20211	,22024	,22222	,24823	,28192	,31429	,35694	,42131	,38236	,49529	,40378	,42101	,	
荔枝,	,302	,	,	,	,	,	,	,	,	,2681	,2883	,5944	,5381	,6328	,7518	,7488	,7908	,9045	,5515	
苹果,66998	,78371	,81364	,87645	,126038	,138831	,161166	,177420	,186798	,202283	,193972	,206909	,225384	,240481	,242923	,248022	,296977	,389048	,408938	,429339	
桃,	,	,	,	,	,	,	,	,	,	,210131	,238376	,269816	,310240	,319039	,330331	,358781	,392854	,410342	,416361	
菠萝,	,	,	,	,	,	,242	,18	,	,	,	,232	,30	,30	,31	,31	,2	,2	,	,	
葡萄,	,26486	,36126	,50631	,60527	,76814	,66659	,82611	,97005	,116037	,120980	,133709	,144409	,142587	,160827	,170534	,180134	,201673	,206370	,216500	
梨,118845	,123583	,134981	,159618	,200616	,209006	,200372	,249712	,272066	,344472	,394805	,469702	,547714	,620276	,684593	,746048	,819776	,821316	,845236	,873351	
龙眼,	,246	,	,	,	,	,	,	,	,	,2493	,2476	,3553	,4035	,4685	,5354	,7510	,5659	,17378	,12983	
红枣,	,874	,1028	,1145	,1386	,1158	,1693	,1707	,1250	,1979	,3317	,4846	,5912	,6513	,8261	,8163	,10287	,10447	,11768	,12708	
猕猴桃,	,	,	,	,	,	,	,	,	,	,14850	,18260	,22253	,28672	,30902	,43509	,51217	,48324	,59560	,83834	
柑橘类,1031478	,1066300	,1325597	,1262636	,1407178	,1443055	,1068944	,1178350	,1162243	,1327534	,1497749	,1661812	,1861568	,1987829	,2137435	,2057754	,2324751	,2575709	,2773464	,2929399	
