品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,28.5,28.2,29.1,32.24,34.32,33.4,32.3,31.52,35.78,37.69,41.79,43.7,41.1,36.4,37.1,36.4,35.1,33.8,33.01,34.4
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,,,,,,,,,
苹果,9.7,10,11,12.94,,13.2,12.5,11.04,11.72,10.4,9.31,8.3,7.3,6.2,6.4,6.2,5.5,5.4,5.25,4.7
桃,,,,,,,,,,,4.36,4.3,4.3,4.4,4,4.2,4,3.9,3.9,4.1
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,1.7,1.7,2,2.32,,2.1,2.4,3.48,4.02,5.27,6,5.7,5.9,5.6,5.1,5.2,5.4,5.1,5.18,5.3
梨,2.7,2.6,2.6,2.9,,3.1,3.1,2.98,3.74,3.71,4.53,4.2,4.1,3.5,3.5,3.5,3.9,3.4,3.61,3.8
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,,,,,,,,,,
柑橘类,,,,,,,,,,,,,,,,,,,,
