品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,8	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,125470	,141169	,158670	,172470	,199227	,212078	,237836	,250654	,255187	,282801	,919546	,298686	,316429	,295819	,277877	,300038	,302013	,294695	,317991	,312713	
柿子,11470	,12685	,12457	,8041	,10723	,12377	,12980	,9806	,10059	,6263	,7672	,1084	,10036	,6301	,11402	,12456	,16902	,15401	,13843	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
苹果,35850	,39204	,43649	,50834	,62790	,71164	,80253	,88388	,81039	,79466	,68424	,67056	,68069	,64721	,66039	,64076	,59709	,62946	,63405	,55512	
桃,	,	,	,	,	,	,	,	,	,	,45837	,44850	,49071	,49006	,48997	,52399	,48776	,53254	,61544	,60025	
菠萝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,17694	,20389	,24647	,26969	,34083	,37980	,47663	,56032	,76547	,102201	,114154	,137909	,140060	,132084	,93229	,104103	,109545	,99959	,104560	,103322	
梨,15171	,16567	,16925	,15927	,17618	,18271	,22466	,25305	,20075	,30172	,27991	,22863	,25851	,25182	,22553	,25719	,28870	,29774	,33131	,35701	
龙眼,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
红枣,3341	,3644	,4369	,5161	,5217	,4365	,5976	,7680	,10203	,8905	,21698	,17126	,15678	,13560	,24691	,30574	,29240	,23649	,31134	,33037	
猕猴桃,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
柑橘类,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
