品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,27.6,29.9,32.4,35.61,38.3,40.3,40.2,37.21,41.56,43.88,43.51,42.1,44.9,44.9,48.6,55.6,65.3,82.9,100.28,119.5
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,,,,,,,,,
苹果,22.3,24.2,26.2,28.79,,31.5,30.6,24.93,23.67,21.73,20.91,20.4,20.4,18.3,19.1,20.3,21.5,31.5,33.52,40.4
桃,,,,,,,,,,,2.94,1.5,3.7,3.7,1,3.6,2,1.9,2.39,2.1
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,1.1,1,9.4,1.01,,1,1,1.87,4.18,5.42,6.61,7,7,6.9,7.8,8.8,10.2,14,20.21,28.7
梨,1.1,1.1,1.4,1.69,,2.1,2,2.2,2.34,2.47,2.25,2.4,2.6,2.4,2.3,2.7,2.7,2.3,2.33,2.2
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,,,,,,,,,,
柑橘类,,,,,,,,,,,,,,,,,,,,
