品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,27164	,61705	,85567	,81456	,116424	,136182	,162349	,156271	,202343	,193155	,533216	,169028	,231496	,228525	,314818	,304153	,424005	,495847	,567573	,649158	
柿子,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
苹果,17217	,43375	,62882	,60079	,92430	,109159	,140363	,125552	,170536	,159462	,126642	,124682	,154927	,156333	,222126	,200694	,275525	,283461	,327487	,354421	
桃,	,	,	,	,	,	,	,	,	,	,2622	,2028	,8241	,8312	,2913	,7693	,7225	,19453	,18239	,22625	
菠萝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,1801	,3231	,4151	,3733	,4954	,5180	,5243	,5806	,6577	,8959	,20582	,22639	,41407	,37688	,48154	,64796	,70576	,97033	,115827	,137640	
梨,1646	,5137	,4609	,4870	,5006	,7282	,7930	,6951	,10114	,9058	,9071	,6707	,12430	,7502	,12081	,9242	,17174	,23194	,22831	,33016	
龙眼,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
红枣,1336	,1103	,857	,1182	,1319	,1407	,2933	,3244	,4153	,5228	,6438	,6888	,10053	,13418	,15566	,20104	,31905	,38508	,41407	,57152	
猕猴桃,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
柑橘类,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
