品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,73.1,68.8,78.9,104.04,97.6,93.6,102.3,88.5,82.22,90.9,95.07,93.8,100.5,109.8,104.2,102.8,100.8,108.7,104.5,107.1
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,,,,,,,,,
苹果,24.3,24.4,28.8,48.62,,42.4,42.4,32.1,24.74,23.6,20.68,17.9,17.1,16.1,13.9,13.4,13.3,17.1,16.1,16.8
桃,,,,,,,,,,,9.58,12.9,15.2,20.4,20.6,20.1,15.8,24.2,23.13,24.1
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,2.8,2.3,2.9,3.17,,4.7,4.5,3.6,3.54,4.6,5.06,8,7.6,9.1,6,5.8,5.2,6.2,6.78,9.4
梨,17.4,16.9,17.7,20.74,,22.8,29.1,29.5,31.15,34.4,34.72,36.7,36.5,38.4,38.6,37.4,36.4,39.5,38.45,38.1
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,.92,.8,.7,.9,.9,.3,.4,.4,.37,.4
柑橘类,4.1,2.9,2.6,2.54,,2.3,2.7,1.7,1.96,1.8,2.55,2.3,2.2,2.3,4,3.4,3.2,2.5,2.71,2.7
