品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,228668	,283889	,298249	,433609	,526557	,598176	,743611	,825029	,961726	,1106071	,7562351	,1738834	,1339426	,1426932	,1517201	,1786139	,2070920	,1726312	,2157169	,2356680	
柿子,9917	,13207	,15128	,15090	,18782	,20861	,28061	,27309	,32079	,32201	,40963	,67284	,67168	,87556	,103001	,139374	,123196	,126797	,164975	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
苹果,39822	,72589	,78374	,129925	,169197	,218354	,272130	,257280	,308521	,302040	,259680	,296552	,221317	,283524	,278143	,341828	,403627	,304886	,368978	,406858	
桃,	,	,	,	,	,	,	,	,	,	,93970	,129150	,167674	,188630	,212186	,226789	,289864	,326213	,380300	,430134	
菠萝,	,	,	,552	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,21636	,17489	,20508	,27651	,33484	,30797	,39684	,34281	,48868	,56156	,76062	,100306	,161600	,165377	,173264	,174710	,178298	,182011	,214046	,261114	
梨,95407	,122161	,105388	,161421	,206895	,236069	,307332	,426452	,492525	,616192	,672389	,767482	,583091	,601134	,638058	,803652	,929719	,628895	,867949	,966259	
龙眼,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
红枣,3388	,3935	,4228	,4197	,5164	,4975	,5908	,4244	,4547	,5864	,5393	,7038	,7503	,14646	,20166	,16366	,13823	,14036	,18537	,21592	
猕猴桃,	,	,	,	,	,	,	,	,	,	,1720	,1582	,3447	,1272	,2435	,4402	,2442	,2136	,1400	,1427	
柑橘类,7768	,397	,5079	,3706	,5228	,4426	,8458	,2806	,6859	,5282	,9424	,8056	,10793	,12907	,12427	,13382	,19225	,21636	,23264	,27750	
