品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,613.5,760.9,787.8,852.77,935.2,962.2,891.4,819.9,782.6,764.3,745.66,753,797.1,756.3,767.9,694.5,659.6,599.2,591.55,581
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,,,,,,,,,
苹果,412.3,149.3,572.3,608.35,,663.3,618.5,556.8,498.2,444.3,397.68,369,357.3,340.5,342.5,311.1,304.9,276.3,270.4,264.6
桃,,,,,,,,,,,83.83,108.9,125.9,125.3,126.6,114.3,108.8,98.1,95.23,101.2
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,15.5,34.2,16.2,15.98,,16,17.5,20.9,29.2,36.5,49.67,54.6,65.9,50.9,46.5,42.3,44.2,36.7,37.9,35.9
梨,34.6,45.1,43,57.04,,90.3,78,63.3,73.5,60.3,62.96,64.1,74.1,70.6,69.9,59.6,54.9,48.8,45.17,42.5
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,.59,.3,.3,.3,.6,.5,.4,.5,.56,.6
柑橘类,,,,,,,,,,,,,,,,,,,,
