品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,2815749	,3717702	,5014283	,5928997	,7176857	,8439096	,7865695	,8396986	,9203185	,9666284	,22436380	,8642046	,10599450	,11556160	,12014770	,12588160	,13339030	,13959100	,14190860	,14389150	
柿子,84017	,73256	,91805	,103458	,117800	,130628	,113028	,125143	,138596	,131043	,123030	,109403	,127553	,131631	,138997	,138087	,136331	,150121	,158520	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
苹果,1626545	,2353290	,3322684	,4063324	,5024348	,6056428	,5582052	,5995558	,6432745	,6476586	,6163790	,5000017	,6118563	,6690553	,6716634	,6930492	,7249227	,7631768	,7710497	,7988405	
桃,	,	,	,	,	,	,	,	,	,	,1053257	,1210344	,1576537	,1828331	,2011740	,2156308	,2347485	,2437846	,2442602	,2435588	
菠萝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,131594	,142068	,188177	,179520	,203657	,210555	,215839	,268986	,362593	,475325	,619141	,640723	,761031	,849718	,831401	,845487	,917312	,904759	,935686	,957825	
梨,343550	,433449	,473917	,604684	,673441	,754478	,778169	,714667	,857807	,911298	,961234	,829821	,982562	,1000938	,1061389	,1103481	,1172162	,1190413	,1166317	,1112099	
龙眼,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
红枣,121391	,129077	,128109	,131683	,241309	,262217	,240186	,320042	,337027	,353640	,383384	,403654	,548159	,533978	,687372	,852446	,927713	,992862	,1077117	,994842	
猕猴桃,	,	,	,	,	,	,	,	,	,	,1905	,1209	,1529	,5657	,6573	,123057	,1699	,1882	,2786	,3232	
柑橘类,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
