品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,191.9,214.1,242.6,272.74,286.3,292.2,307.5,297,288.7,288.9,269.06,281.6,278.2,279.1,279.7,270.2,274,277.2,281.16,294.4
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,,,,,,,,,
苹果,106.9,123,145.1,178.36,,191.7,206.1,196,187.7,177.9,164.73,158.4,154.1,152.7,151.4,146,144.3,148.2,145.23,137.6
桃,,,,,,,,,,,,6.2,8.7,9.9,9.9,10.9,12.1,12,13.45,16.1
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,6,6.4,6.7,6.58,,6.7,6.4,6.3,6.2,7.1,9.4,14,13.7,14.2,13.2,10.2,9.8,10.1,10.35,9.6
梨,25.9,27,28.4,28.65,,30.2,30.4,30.8,30.6,31.2,29.78,30.3,27.9,28.5,30,29.6,31.1,30.7,31.06,28.1
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,.12,.1,,,,.1,,,.01,
柑橘类,,,,,,,,,,,,,,,,,,,,
