品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,396207	,505925	,603921	,867497	,1025814	,1210037	,1464408	,1773119	,2102476	,2044859	,2752680	,2213312	,2354265	,2722110	,2454962	,2725511	,2792990	,3398531	,3825564	,4084560	
柿子,58766	,59621	,58671	,69173	,77122	,63577	,47001	,49936	,51083	,49024	,50969	,55598	,53640	,56147	,55169	,49029	,59332	,72525	,71476	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
苹果,168297	,236072	,333696	,560034	,695000	,919660	,1101227	,1410718	,1748293	,1629575	,1551595	,1724180	,1801786	,2021372	,1648413	,1867049	,1872681	,2228789	,2384755	,2566472	
桃,	,	,	,	,	,	,	,	,	,	,47399	,66379	,102927	,129935	,132355	,161768	,178106	,210210	,260852	,321002	
菠萝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,18714	,23345	,26309	,29385	,31258	,30687	,28178	,33393	,36411	,50564	,70236	,90686	,111885	,116572	,119187	,91699	,104274	,116618	,129413	,219513	
梨,49251	,65384	,58257	,58144	,64653	,79189	,91603	,101843	,118816	,128577	,139782	,104019	,154901	,197298	,246247	,184207	,326969	,378518	,479790	,342203	
龙眼,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
红枣,61704	,73097	,68869	,95318	,100597	,54475	,130103	,107229	,79057	,113332	,67313	,138275	,90592	,152780	,196858	,314302	,192953	,310405	,395660	,421140	
猕猴桃,	,	,	,	,	,	,	,	,	,	,126	,217	,258	,210	,212	,264	,242	,131	,177	,541	
柑橘类,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
