品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,83.9,111.1,110.3,57,,79.6,75.7,79.44,86.16,101.01,98.6,110.7,125.8,126,128.4,125.9,128.1,128.6,127.39,125.5
水果,657.6,699.3,681.9,485,735.64,797.3,862.1,922.83,946.53,1001.56,991.71,875.4,917.1,986.7,996.9,1013.9,1019.1,1052.4,1081.3,1084.8
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,274.83,256.7,260.9,284.1,278.1,275.6,266.9,275.8,275.5,273.1
苹果,,,,,,,,,,,,,,,,,,,,
桃,,,,,,,,,,,,,,6.6,7.6,7.5,7.6,6.4,6.61,6.8
菠萝,,,,,,,,,,,29.93,29,27,26.1,27.1,26.9,26.7,25.7,27.03,27.5
葡萄,,,,,,,,,,,,,,,,,,,,
梨,7.9,7.6,6.8,3,,6.6,7,9.48,8.37,8.52,8,7.5,6.3,6.4,7.3,6.9,7,7.3,7.39,7.6
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,,,,,,,,,,
柑橘类,184.3,173.4,147.4,85,,101.9,92.7,84.55,79.41,82.23,94.33,105.9,149.9,175.7,195.5,224.5,243.6,248,276.04,282.6
