品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,1365540	,1482657	,1550347	,1534806	,1576036	,1204830	,1334175	,1642127	,2051253	,2353047	,2287362	,2717712	,3018034	,3209184	,3302250	,3353234	,3511801	,3481411	,3578810	,3712693	
水果,3941912	,4187971	,4024414	,4015535	,4145073	,3811727	,4144783	,4531223	,6226758	,6435174	,6861916	,6989083	,7185869	,7878494	,8316862	,8934688	,9506508	,9834928	,10618920	,11287320	
柿子,31413	,38175	,41213	,45672	,55496	,59367	,68609	,74167	,95668	,101128	,85397	,98940	,94787	,109400	,114772	,114557	,122394	,117868	,122969	,	
荔枝,112771	,183065	,	,	,	,	,	,	,	,	,633643	,977590	,740273	,940086	,862059	,909472	,976570	,917238	,945561	,1008276	
苹果,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
桃,	,	,	,	,	,	,	,	,	,	,50079	,59021	,61173	,67258	,86860	,87352	,89537	,79119	,78011	,80899	
菠萝,197644	,202801	,211561	,240684	,262965	,234471	,251844	,319837	,505525	,475268	,457590	,462473	,464350	,475114	,521002	,550498	,535511	,555914	,636154	,675458	
葡萄,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
梨,15275	,20399	,19366	,19648	,22704	,23956	,27436	,31621	,36892	,42144	,37097	,40318	,38760	,42097	,42963	,43808	,51035	,46365	,55116	,62232	
龙眼,32235	,37668	,	,	,	,	,	,	,	,	,295425	,382305	,391179	,391582	,464025	,475626	,508753	,574795	,571279	,606985	
红枣,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
猕猴桃,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
柑橘类,1756771	,1707304	,1459487	,1248138	,1074264	,984262	,866913	,756912	,836091	,810595	,1134889	,1233869	,1351484	,1590845	,1826814	,2244410	,2567523	,2804922	,3220505	,3500398	
