品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,14.7,28.1,34,35.7,,35.8,41.8,44.2,50.8,59.7,58.8,54.5,51.2,52.1,54.7,55.7,61.6,61,70.5,78.5
水果,188.3,259.2,280.5,368.72,468.29,560.4,668,712.4,768.6,785,814,819.7,821.3,844.1,865.2,867.4,883.7,888.2,917.71,938.1
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,210.52,218.1,217.4,222.1,221.7,217.7,215.3,211.7,209.92,208.9
苹果,,,,,,,,,,,,,,,,,,,,
桃,,,,,,,,,,,6.67,8.6,10.8,13.2,15.5,15.9,16.5,16.7,18.43,19.7
菠萝,,,,,,,,,,,6.2,5.1,4.5,4.7,5.2,5.4,5.6,4.3,3.94,3.2
葡萄,,,,,,,,,2.7,5.2,7.8,8.6,8.6,8.9,10,11.5,11.1,11.6,12.87,17.2
梨,3.1,3.5,4.1,5.44,,7.4,9.1,9.5,9.8,10.2,11.5,12,13.3,14.3,16.7,17.8,18,18.6,18.89,19.8
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,.26,.4,.5,.7,.6,.5,.3,.2,.4,.4
柑橘类,74.7,85.9,75.6,78.18,,96.7,108,107.1,105.1,110,115.7,118,122,134.3,141.3,151.5,165.3,178.4,189.23,197.9
