品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,309832	,597130	,682545	,714250	,808310	,531352	,685532	,852923	,965558	,1111565	,1129564	,1073436	,1035709	,1078347	,1173887	,1243024	,1404580	,970097	,1556342	,1864851	
水果,1139222	,1611555	,1843460	,2223555	,2665994	,2399293	,3155219	,3247332	,4051851	,3601420	,4062763	,4557821	,4622358	,5264394	,5715755	,6128590	,6908870	,6600574	,7746463	,8417741	
柿子,34677	,40052	,51824	,65787	,89020	,120091	,156162	,177203	,203835	,210383	,255580	,298694	,326961	,393898	,441083	,465626	,504897	,551349	,586415	,	
荔枝,35395	,79616	,	,	,	,	,	,	,	,	,181328	,361027	,208096	,367639	,334797	,359021	,496937	,318314	,492894	,465806	
苹果,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
桃,	,	,	,	,	,	,	,	,	,	,46055	,53354	,72172	,93589	,122080	,125757	,153369	,139389	,155297	,168003	
菠萝,122279	,126314	,136343	,122925	,122164	,84581	,79460	,83877	,101309	,80029	,78508	,70686	,67872	,65394	,65385	,69607	,70576	,26988	,32330	,27636	
葡萄,	,	,	,	,	,	,14929	,21662	,25455	,39427	,63058	,79197	,94210	,106512	,119135	,137047	,158873	,170750	,180790	,232009	
梨,25050	,31107	,34916	,40041	,51765	,55346	,60167	,62381	,67818	,60863	,64528	,69819	,82088	,97452	,120741	,135582	,156428	,181679	,193990	,222572	
龙眼,25193	,49610	,	,	,	,	,	,	,	,	,163008	,355762	,307229	,352239	,381709	,385741	,406782	,398495	,388926	,405490	
红枣,5885	,6164	,9713	,10066	,12754	,14442	,17537	,19245	,16314	,16765	,20885	,22401	,23861	,24895	,22892	,23615	,25921	,18637	,19978	,20144	
猕猴桃,	,	,	,	,	,	,	,	,	,	,830	,540	,1521	,1836	,1823	,1690	,2242	,2796	,2198	,2191	
柑橘类,388736	,415946	,527295	,580840	,725841	,794750	,1006996	,869857	,1061790	,879914	,1320678	,1373383	,1521327	,1719595	,1876759	,2055243	,2346987	,2654922	,2892339	,3132057	
