品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,124.6,124.9,133.9,151.75,149.9,151.3,148.8,151.8,162.4,193.1,225.51,292.1,344.2,396.2,477,502.8,607.6,716,839.29,991.7
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,,,,,,,,,
苹果,27.9,29.6,34.3,41.02,,45.4,42.2,41,36.2,34.6,31.17,30.4,27.8,28.9,28.6,31.1,32.5,38.5,55.29,73.3
桃,,,,,,,,,,,6.36,8.4,8.9,10.8,10.6,10.1,10.6,11.7,12.75,14.6
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,33.1,31.5,31.8,31.27,,29.1,28,32,41.3,59.1,70.55,87.9,91.7,92.2,96.2,103.9,109.6,108.8,114.68,125.3
梨,13.7,14.7,17.2,21.54,,23.5,25.4,25.8,28.6,33.9,42.67,45.8,47.7,53.3,66.8,69.2,70.5,73.1,69.46,68.8
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,,,,,,,,,,
柑橘类,,,,,,,,,,,,,,,,,,,,
