品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,810971	,918886	,998190	,1075198	,1143430	,1159852	,1236730	,1214789	,1364194	,1518732	,1542457	,1982042	,2183393	,2642218	,2912627	,3431435	,4119760	,4508652	,5651495	,5938497	
柿子,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
苹果,119692	,154581	,187240	,202486	,236280	,247444	,275178	,240094	,246838	,299673	,270983	,250396	,263418	,293850	,330206	,327886	,388881	,435392	,535058	,658728	
桃,	,	,	,	,	,	,	,	,	,	,34816	,27945	,31939	,49390	,56877	,72038	,86137	,61447	,96306	,104713	
菠萝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,355600	,408996	,447473	,451136	,488975	,502866	,498160	,555408	,610415	,683645	,661524	,908069	,1066331	,1241450	,1287642	,1502035	,1654581	,1648718	,1932157	,1965695	
梨,71889	,79042	,84789	,106850	,115889	,118033	,147123	,108783	,198148	,194879	,226967	,308989	,249537	,285703	,367808	,435203	,541451	,692831	,874988	,1052854	
龙眼,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
红枣,1432	,1895	,1794	,2010	,2592	,3101	,4319	,4707	,6158	,7131	,9026	,12132	,14027	,15840	,28620	,46470	,87206	,131413	,289950	,627319	
猕猴桃,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
柑橘类,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
