品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,101.1,111.9,127.9,173.01,157.7,149.2,140.5,134.1,152.8,153.3,178.53,182.9,178.3,184.9,191.4,190.4,174.8,178.7,192.74,191.5
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,40.6,,,,,,,,
苹果,44.2,49.1,63.7,93.56,,78.9,68,60.8,63.6,49.6,47.73,46.7,38.9,38,38.4,36.5,35.1,34.8,34.82,34
桃,,,,,,,,,,,24.95,29.6,29.8,32.6,32.8,31.3,30.7,31.6,33.1,35.6
菠萝,,,,,,,,,,,,3.8,,,,,,,,
葡萄,2.5,2.9,3.3,4.29,,3.9,4.9,4.2,5.9,5.9,8.1,9.9,10.8,10.9,11.4,13,12.7,14.9,18.1,21.7
梨,14.2,15.6,17.1,33.6,,19.3,24,23,38.2,38.6,39.71,43.7,44.2,44.7,47.3,40.2,36.4,36.7,37.29,37.8
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,.29,.3,.5,.3,.3,.3,.4,.3,.58,.8
柑橘类,3.5,4.5,4.2,4.12,,4.1,4.8,3.2,3.2,3.3,3.47,3.3,3.2,3.6,3.9,5.4,3.7,3.7,4.64,3.6
