品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,459810	,565794	,712607	,785307	,1013458	,1232903	,1403961	,1443649	,1630878	,1764369	,6125950	,1946214	,1829055	,2004839	,2023426	,2146554	,2257394	,2345528	,2354138	,2370291	
柿子,31353	,48573	,58944	,2411	,1076	,6705	,4811	,124401	,140935	,194078	,205979	,169240	,111115	,108506	,120952	,152770	,156977	,108641	,51541	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,147671	,	,	,	,	,	,	,	,	
苹果,83675	,123646	,177736	,214279	,321634	,440737	,549159	,628721	,679626	,695294	,680191	,614555	,494611	,560871	,552794	,572600	,618453	,575299	,572333	,566332	
桃,	,	,	,	,	,	,	,	,	,	,310040	,314003	,317105	,326451	,318699	,349959	,389910	,433765	,437898	,457010	
菠萝,	,	,	,	,	,	,	,	,	,	,	,38352	,	,	,	,	,	,	,	,	
葡萄,22380	,27741	,33919	,49354	,57886	,62707	,67907	,71577	,77060	,87697	,114568	,133564	,140777	,164829	,153021	,208275	,202401	,242747	,278506	,331877	
梨,135783	,161119	,189397	,211475	,242981	,282530	,312562	,308453	,361118	,390137	,462768	,519451	,502033	,542455	,556158	,614252	,627634	,639385	,662410	,669130	
龙眼,	,	,	,	,	,	,	,	,	,	,	,192025	,	,	,	,	,	,	,	,	
红枣,2903	,2533	,887	,1172	,1759	,1261	,1373	,1641	,2411	,2546	,5387	,6987	,7129	,7744	,9978	,9758	,13310	,14564	,13868	,9683	
猕猴桃,	,	,	,	,	,	,	,	,	,	,1309	,1449	,1885	,2090	,1349	,7700	,2546	,3320	,2937	,3895	
柑橘类,35351	,21174	,39742	,31034	,45678	,42886	,51747	,31306	,62081	,42747	,54824	,49115	,54143	,47896	,52026	,47943	,46921	,50612	,59765	,53632	
