品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,107.1,106.7,137.3,193.57,238.2,292.34,310.7,295.56,289.9,283.7,247.56,248.2,262.4,294,295.8,302,338.9,361.4,374.55,373.6
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,,,,,,,,,
苹果,,535.6,,,,,,,,,,,,,,,,,,
桃,,,,,,,,,,,6.29,9,9,9.6,10.7,10.8,10.1,11.4,10.82,10
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,.7,1,1.3,1.32,,1.69,1.6,2.18,2,2.9,1.76,1.8,1.8,1.9,1.9,1.9,1.6,1.9,2.37,2.5
梨,4.7,6.3,9.2,13.57,,23.26,23.5,21.29,21,23.6,19.2,21.3,21.8,24,26.2,26.7,23.5,26.1,26.23,25.7
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,1.96,2.2,2.2,2.6,2.4,2.5,5.7,2.2,1.88,1.9
柑橘类,84.9,53.7,79.7,111.97,,175.74,188.3,178.15,177.8,169.3,154.5,166.4,186,217.3,215.1,229.3,262.5,281.9,296.36,300.6
