品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,334161	,140914	,208141	,303658	,427637	,503928	,676384	,454628	,703877	,423403	,577314	,652276	,777691	,1023742	,1302821	,1609336	,2181603	,2753566	,3270764	,2971285	
柿子,5551	,6792	,6669	,8070	,11328	,11821	,12986	,11008	,10793	,9146	,8481	,9500	,9310	,9415	,9474	,9875	,13808	,18082	,18837	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
苹果,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
桃,	,	,	,	,	,	,	,	,	,	,30946	,26505	,26994	,28386	,37292	,40496	,35786	,45916	,45745	,48270	
菠萝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,1461	,2359	,2697	,3005	,2218	,3871	,3375	,2551	,2892	,2681	,3294	,3560	,3631	,3868	,3741	,3856	,9614	,16012	,24564	,29001	
梨,16279	,15777	,19454	,25101	,29318	,30926	,37466	,32784	,38899	,42109	,42790	,48795	,45181	,65685	,74538	,80651	,89012	,113715	,117653	,116830	
龙眼,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
红枣,4213	,4363	,5029	,6219	,7801	,8015	,7928	,7310	,6759	,5821	,5310	,5500	,5225	,5574	,5467	,5423	,3580	,	,	,	
猕猴桃,	,	,	,	,	,	,	,	,	,	,2874	,8074	,7912	,8411	,8523	,1079	,15536	,13897	,10484	,11610	
柑橘类,269135	,70700	,120448	,172313	,279277	,332978	,483034	,295719	,539222	,282976	,433796	,489940	,619887	,843771	,1098239	,1393788	,1957503	,2485062	,2993721	,2685960	
