品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,601,635.9,731.2,941.85,982.8,998,1000.2,1005,1022.8,1041.7,1054.8,1062.1,1075,1106.4,1115.1,1097.5,1088,1061.5,1035.58,1064.4
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,,,,,,,,,
苹果,215.4,231.7,276.5,350.07,,384.8,371.3,355.3,341.13,328.3,316.5,288.3,276.4,266.5,263.9,253.1,250,243.8,235.45,265.4
桃,,,,,,,,,,,73.57,89.4,98.5,101.6,99,94,94.6,93.9,88.98,85.8
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,14.4,15,18.1,20.46,,22.7,25.9,31.54,39.4,42.8,46.34,51.5,52.1,53.3,54.2,58.1,57.9,61,63.43,70.4
梨,129.8,134.7,159,202.67,,233.7,230.4,224.3,221.8,218.7,211.5,211.7,213.1,213.3,215,205.2,200.9,197.7,194.1,189.2
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,.19,.2,.2,.2,.6,.3,.2,.2,.13,.1
柑橘类,,,,,,,,,,,,,,,,,,,,
