品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,1970854	,2266224	,2633459	,3565009	,4319652	,5031989	,5561208	,6296892	,6437654	,6773066	,10747740	,7485270	,7969744	,8769525	,9184789	,9685262	,10158050	,10541290	,11040690	,11117250	
柿子,50077	,82871	,84131	,100797	,153893	,151833	,188173	,221166	,241482	,246119	,225584	,257519	,291535	,323962	,333382	,345685	,394325	,410365	,418102	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
苹果,530998	,619013	,773164	,1002171	,1255794	,1566759	,1751374	,1930339	,1871157	,1806155	,1845447	,1965571	,2002769	,2142882	,2202273	,2357620	,2478845	,2615982	,2767973	,2724614	
桃,	,	,	,	,	,	,	,	,	,	,868119	,1009618	,1133773	,1223842	,1248910	,1316853	,1370654	,1430416	,1444854	,1462150	
菠萝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,100201	,128222	,164849	,223472	,293034	,304721	,361689	,404436	,447002	,523601	,580139	,758280	,803418	,840916	,863938	,878417	,946886	,988071	,1050802	,1075468	
梨,813950	,885195	,964125	,1345063	,1686062	,1977097	,2113339	,2388517	,2509805	,2551647	,2445536	,2662875	,2820702	,3131868	,3246220	,3334972	,3459772	,3539679	,3640682	,3758287	
龙眼,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
红枣,129761	,135273	,151734	,213736	,212812	,215382	,284032	,359256	,353051	,441657	,419954	,488031	,551313	,666445	,807577	,909161	,910315	,929978	,1077928	,1031025	
猕猴桃,	,	,	,	,	,	,	,	,	,	,273	,195	,119	,82	,1047	,139	,630	,579	,89	,94	
柑橘类,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
