品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,215.1,228.4,279,371.64,440,447.5,393.1,385.75,373.37,355.8,343.3,352.8,374.1,400,416.6,416.3,448.5,438.2,449.03,455.3
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,,,,,,,,,
苹果,130.9,9.4,209,280,,341.3,293.9,269.02,240.69,207,180.2,168.3,164.5,164.7,165.8,167.7,182.3,173.1,175.7,177.6
桃,,,,,,,,,,,30.44,38.7,47.4,55.4,60.2,64.4,76,69.5,70.31,73.9
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,3.8,4.6,3,10,,10.3,9.7,11.3,12.24,16.8,18.15,20.4,21.6,25,26.2,25,26.2,26.8,29.58,29.9
梨,8.5,8.1,5,16,,24,23.5,27.32,28.77,31,32.8,35.5,36.7,36.4,39.2,41.1,43.2,46,47.07,47.3
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,3.43,3.7,4.5,5.4,6.9,7.9,7.6,9.3,8.89,9.2
柑橘类,6.3,4,4,2.91,,3.6,2.9,4.92,4.57,4.9,4.7,4,8.1,9.5,10.1,9.7,10,10.1,10.66,10.9
