品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,636742	,877862	,1251152	,1705406	,2116560	,2472601	,2692597	,3125976	,3494215	,3647279	,3991239	,4270092	,4303813	,5070662	,5556928	,5917943	,6634855	,7140866	,7559013	,7959884	
柿子,73524	,74831	,75362	,101484	,101368	,109199	,109712	,131470	,138979	,158773	,154064	,171794	,178251	,214514	,258584	,276020	,326799	,364224	,415736	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
苹果,380457	,530649	,871022	,1190993	,1553362	,1820507	,1972032	,2226397	,2427717	,2388997	,2524083	,2603588	,2509614	,2869272	,3006245	,3227888	,3523310	,3743917	,3886253	,4089647	
桃,	,	,	,	,	,	,	,	,	,	,295721	,362694	,424846	,536342	,601029	,650108	,774759	,850939	,938641	,1017447	
菠萝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,23887	,37645	,55805	,68268	,76004	,101520	,120367	,153047	,182392	,208280	,280331	,304982	,331036	,382743	,412605	,405125	,419473	,437329	,461083	,484130	
梨,30510	,45567	,46200	,84701	,111033	,138724	,148144	,202469	,263003	,333000	,395919	,479640	,433413	,544554	,654680	,695950	,799939	,876538	,922590	,946619	
龙眼,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
红枣,46847	,64023	,78094	,103605	,101793	,117622	,128822	,148413	,166541	,177839	,209757	,225017	,230614	,246510	,268091	,301301	,334740	,366534	,387830	,391864	
猕猴桃,	,	,	,	,	,	,	,	,	,	,17626	,20752	,36545	,80157	,102569	,8529	,136357	,176006	,211085	,241590	
柑橘类,1882	,287	,937	,1968	,2470	,5937	,7944	,10899	,14084	,21201	,21780	,21795	,29504	,35110	,35878	,36999	,38450	,39595	,40068	,41726	
