品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,225.5,216.1,210.4,229.94,237.2,242.1,241,240.63,244.7,249.03,261.2,275.6,286.7,294.4,299.8,300.7,314.3,317.1,318.05,320.9
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,,,,,,,,,
苹果,.5,.3,.4,.46,,.4,.4,.36,.4,.33,.24,.2,.2,,,,,,,
桃,,,,,,,,,,,18.36,21,21.7,23.8,24.6,24.5,25.5,25.9,26.33,26.2
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,2.3,2.7,3.5,3.99,,4.3,4.5,4.47,4.6,5.14,6.2,7.1,8.2,9.3,9.8,10.4,12.1,14.6,16.99,20
梨,7.1,7,7.3,8.04,,8.6,9.8,10.98,12.8,16.65,19.4,22.1,24.1,25.7,26.6,26.5,27.9,27.5,25.42,24.9
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,3.87,3.9,3.4,3.1,3,2.6,2.5,2.5,2.85,3.1
柑橘类,130.3,126.1,122,131.5,,138.3,137.6,133.9,132.9,125.23,123.9,124,125,124.1,123,120.2,122.5,122.1,116.7,114.5
