品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,1344871	,1023733	,1488803	,1758588	,2146168	,2276300	,2693751	,2064155	,2791878	,1703691	,5166368	,2512490	,2862887	,3302099	,2836914	,3263013	,3558664	,4126401	,3854784	,3824949	
柿子,10691	,13149	,10464	,12845	,12588	,16749	,19976	,23493	,24351	,30178	,32630	,34388	,34963	,36751	,35973	,36237	,42571	,46054	,48671	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
苹果,475	,617	,635	,585	,573	,611	,809	,991	,1036	,845	,936	,1100	,810	,	,	,	,	,	,	,	
桃,	,	,	,	,	,	,	,	,	,	,168709	,189596	,210067	,259595	,285842	,311648	,316166	,346219	,365679	,355911	
菠萝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,24285	,41638	,49862	,61608	,71191	,79700	,95829	,92021	,97346	,114569	,132849	,145171	,172714	,203076	,219942	,238389	,269051	,332472	,390359	,425866	
梨,27493	,26303	,36253	,33267	,39785	,59000	,73983	,85740	,114341	,147563	,188737	,147842	,244454	,285751	,310375	,329753	,360524	,375587	,382379	,379297	
龙眼,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
红枣,4863	,4179	,3652	,4301	,3634	,4486	,5439	,4822	,4541	,5771	,6561	,6341	,6975	,	,	,	,	,	,	,	
猕猴桃,	,	,	,	,	,	,	,	,	,	,8031	,21500	,8404	,6792	,7433	,2089	,8592	,11028	,12491	,12701	
柑橘类,1064175	,738515	,1135248	,1392668	,1700354	,1804133	,2105054	,1496872	,2120078	,971896	,1638080	,1642751	,1766619	,2009924	,1481053	,1805137	,1987265	,2383554	,1975382	,1907828	
