品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,7.7,9.1,14.2,17.39,,18.2,19,8.9,13.9,32.98,34.14,34.1,30.8,34.9,37.3,46,48,47.9,50.25,58.3
水果,34.2,37,49.1,65.08,81.2,89.9,100.6,47.29,66.7,141.86,148.09,157.4,159.2,163.8,163.4,169.7,171.8,171.2,170.63,174.5
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,25.37,31.8,32.2,32.4,31.5,30.3,29.7,28.1,25.69,24.6
苹果,,,,,,,,,,,,,,,,,,,,
桃,,,,,,,,,,,,,,,,,,,,
菠萝,,,,,,,,,,,15.99,14.5,13.2,12.6,11.8,12.8,14.3,15.2,14.56,14.2
葡萄,,,,,,,,,,,,,,,,,,,,
梨,,,,,,,,.8,,,,,,,,,,,,
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,,,,,,,,,,
柑橘类,2.6,2.5,2.6,2.55,,2.5,2.4,.8,.6,2.23,2.57,2.6,2.5,3.1,3.7,3.6,3.7,3.8,4.36,5.1
