品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,55334	,61751	,89970	,156252	,191089	,177032	,188479	,235996	,358241	,600274	,912568	,853678	,841935	,733341	,913257	,1086296	,1422134	,1516223	,1595792	,1722931	
水果,138380	,153958	,194010	,282103	,360496	,361641	,398893	,532680	,759555	,1055207	,1875998	,1390840	,1480544	,1434490	,1625256	,1878502	,2333142	,2478678	,2679486	,2853557	
柿子,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
荔枝,1987	,4017	,	,	,	,	,	,	,	,	,13402	,29560	,35782	,62758	,70338	,88532	,104530	,90784	,110822	,134969	
苹果,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
桃,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
菠萝,58751	,57946	,54735	,61405	,82288	,92320	,113459	,152852	,192323	,238852	,262884	,227681	,224013	,203097	,202648	,211386	,233599	,281078	,296554	,297352	
葡萄,	,	,	,	,	,	,2	,	,	,	,	,	,	,	,	,	,	,	,	,	
梨,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
龙眼,615	,682	,	,	,	,	,	,	,	,	,2707	,6407	,7162	,11918	,15654	,20250	,26633	,29697	,34387	,35155	
红枣,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
猕猴桃,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
柑橘类,4746	,6654	,10371	,10483	,11002	,10020	,9221	,10921	,11219	,13741	,14865	,18398	,14549	,23861	,19748	,26640	,30146	,39362	,44461	,48477	
