品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,129,124,165.2,194.23,199.8,219.6,234.82,226.88,233.5,233.9,235.2,229.4,227.9,250.4,265.1,202.2,319.2,347.5,367.6,375.7
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,,,,,,,,,
苹果,6.3,,12.4,12.95,,13.5,13.81,12.51,11.04,9,6.8,4.3,4.2,3.6,3.3,3.2,3,3.3,2.21,1.7
桃,,,,,,,,,,,38.49,38.4,38.3,44.7,43.5,39.3,44.2,44.9,46.91,49.1
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,1.3,1.4,1.9,4,,4.5,3.64,4,5.27,5.1,4.9,4.9,5.7,5.2,4.8,5.2,5.7,5.9,6.24,5.6
梨,13.3,15.5,22.1,29.89,,41.39,48.56,51.44,54.12,56.1,52.8,50.8,40.9,39.7,35.9,38.1,35.5,35.4,38.23,36.6
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,3.84,2.7,3.1,1.8,2.1,2,2,2.2,2.96,3
柑橘类,91.9,80.8,94.6,96.53,,102.7,111.47,103.25,102.4,99.1,98.5,100.3,109.6,124.7,143.2,159,189,211.1,225.63,229.2
