品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,464653	,338112	,563881	,684149	,1146971	,1296999	,1790764	,1828374	,2085010	,2156788	,6724576	,2231131	,2397212	,2459921	,2607910	,3024199	,3332242	,3776628	,4008568	,4371323	
柿子,31482	,32409	,41648	,38546	,50922	,44520	,55036	,56782	,61315	,57577	,55924	,54151	,43375	,48386	,47699	,52036	,53368	,54503	,52980	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
苹果,23712	,22099	,28918	,24234	,32142	,42984	,58644	,60029	,30447	,30224	,21800	,12388	,13458	,10934	,12437	,11866	,10351	,8881	,11445	,9672	
桃,	,	,	,	,	,	,	,	,	,	,344276	,354276	,404180	,428076	,468766	,483510	,502347	,510596	,566623	,607487	
菠萝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,3043	,4913	,6688	,12194	,25061	,35805	,49595	,53893	,70952	,74788	,68301	,59850	,57415	,50519	,49671	,73670	,86313	,98467	,123644	,131213	
梨,72020	,79043	,130999	,185990	,260156	,341635	,480268	,564420	,541856	,633197	,676761	,677021	,563895	,548759	,501856	,518020	,493185	,473326	,468461	,480523	
龙眼,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
红枣,3908	,4599	,5441	,6648	,11776	,11720	,16356	,17252	,16483	,16587	,13549	,18362	,22004	,26252	,20182	,21553	,21805	,22713	,27499	,29093	
猕猴桃,	,	,	,	,	,	,	,	,	,	,4491	,4959	,7662	,6021	,8584	,27537	,10548	,9311	,10906	,10638	
柑橘类,283960	,141151	,271816	,303521	,581446	,598310	,849249	,730900	,993502	,946236	,1071729	,938783	,1240592	,1308211	,1462596	,1811055	,2115561	,2555084	,2747010	,3010384	
