品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,212.9,223.2,249.5,270.02,286.2,305.5,317.2,319.5,324.7,330.3,353.1,364,378.3,406.2,430.8,450.6,480.8,469.2,510.91,519.7
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,,,,,,,,,
苹果,,,,,,,,,,,,,,,,,,,,
桃,,,,,,,,,,,14.81,18.1,17.3,20.9,21.6,21.7,26.7,23.5,25.91,27.5
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,1,1.8,2.2,3.35,,3.2,3.1,3,3.4,4,5.3,8.3,9.8,11.7,12.4,13,18.9,14.5,15.22,16.7
梨,6.5,7.3,10.3,11.45,,13.8,14.4,14.3,14.8,16.3,20.2,20.9,24.1,25.5,27.5,30.9,36.9,30.7,30.76,32.2
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,2.81,4.1,4.9,5.6,7.2,6.6,10.8,9,9.31,9.7
柑橘类,187.5,186.5,203.1,213.22,,235.7,239.7,241.4,245.8,247.9,253.52,261.8,259.9,276.4,296.2,313.8,325.9,335.9,376.18,379
