品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,944599	,397455	,855949	,807542	,1169429	,1050100	,1532102	,1090657	,1730080	,1505029	,4963243	,1831578	,2103996	,2310498	,2432667	,2850547	,3164046	,3550975	,3998119	,4609155	
柿子,3975	,4029	,4272	,5503	,5355	,4811	,6096	,5875	,6114	,6819	,6684	,8401	,8428	,10113	,10126	,11533	,16657	,19026	,18440	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
苹果,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
桃,	,	,	,	,	,	,	,	,	,	,63923	,67267	,74305	,83591	,94888	,102296	,107971	,106278	,112055	,131342	
菠萝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,4274	,5097	,6639	,7208	,9716	,11131	,11272	,13359	,14960	,18764	,24218	,28850	,36944	,46153	,52255	,59502	,73180	,73365	,83892	,100776	
梨,19945	,17864	,21529	,22150	,21005	,20151	,23290	,24719	,27293	,35558	,55348	,63237	,70750	,84435	,108417	,117613	,133225	,125529	,128561	,154630	
龙眼,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
红枣,10184	,7548	,8899	,8002	,7918	,9254	,10658	,12149	,12746	,13171	,14847	,16028	,18925	,20480	,21567	,24167	,25220	,22330	,24093	,27563	
猕猴桃,	,	,	,	,	,	,	,	,	,	,12721	,12555	,13194	,16544	,25186	,	,28559	,33905	,39530	,44988	
柑橘类,816710	,298732	,716887	,669895	,1014983	,895864	,1341400	,899125	,1496568	,1259154	,1588368	,1489211	,1727712	,1879015	,2120228	,2507899	,2779234	,2975738	,3384746	,3889154	
