品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,170.1,185.7,217.2,247.23,280.9,303,307.5,299.9,305,273.4,281.9,294.8,320.1,335.1,347.6,373.6,415.6,411.9,411.55,420
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,,,,,,,,,
苹果,114.7,126.4,151.1,172.18,,211.5,212,199,195,167.6,165.9,163.5,167.5,173.2,183.8,207.4,247.6,246.5,261.59,268.6
桃,,,,,,,,,,,9.63,10.4,11.5,13.7,14.2,14.2,13.8,13.6,12.88,12.7
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,2,2,1.8,1.55,,1.5,1.7,2.2,3,4.2,6.87,8.8,9.4,9.2,8.9,8.9,10.2,11,13.42,18.4
梨,27.9,31.2,36,41.36,,54,57.2,57.4,57.3,54.5,52.4,50.6,51,50,49.5,48.4,46.8,44.4,35.57,34.5
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,,,,,,,.3,.3,,
柑橘类,.9,.9,.9,.85,,.7,.8,.7,.7,.2,.2,.2,.2,.2,.2,.2,.3,.3,.27,.3
