品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,404162	,471214	,596617	,664037	,803625	,908941	,1002458	,1131716	,1107397	,1215921	,2179561	,1370465	,1453675	,1409801	,1724459	,2050916	,2280994	,2481416	,2775594	,2994553	
柿子,12832	,12536	,9803	,11266	,10043	,11817	,9519	,11062	,15662	,16145	,6157	,9713	,12955	,12211	,14858	,17390	,21133	,22462	,24031	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
苹果,184610	,226085	,315178	,365896	,452544	,515083	,561019	,670039	,629027	,690671	,723901	,776004	,829959	,799650	,1012568	,1254141	,1424253	,1641352	,1856204	,2016609	
桃,	,	,	,	,	,	,	,	,	,	,51783	,69069	,75254	,74933	,102261	,139340	,142204	,152605	,161822	,155895	
菠萝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,6116	,7474	,6035	,7144	,8437	,9429	,11501	,13782	,20150	,22194	,32008	,52442	,63343	,70002	,77506	,90443	,105950	,99601	,116185	,128370	
梨,71024	,93631	,115809	,127842	,165782	,177456	,242462	,238237	,222097	,245941	,266001	,266254	,286128	,251516	,283345	,314798	,294239	,285490	,320461	,334180	
龙眼,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
红枣,12868	,8159	,7543	,8871	,12842	,15230	,14699	,17207	,20097	,31236	,37646	,60654	,46396	,58602	,75450	,81528	,111653	,82771	,94108	,117407	
猕猴桃,	,	,	,	,	,	,	,	,	,	,132	,141	,78	,49	,70	,29	,625	,163	,128	,106	
柑橘类,1398	,1590	,1668	,1245	,1259	,1316	,1107	,1522	,1871	,1982	,2588	,2898	,3192	,3388	,2858	,3400	,3158	,3042	,3124	,3338	
