品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,15,19.5,21,22.86,,23.8,24.3,26.1,31.7,33,31.82,29.3,29.2,29.4,29.8,29.7,29.4,26.3,29.13,28.9
水果,355.3,415.8,459.2,504.76,532.4,556.6,576.3,568.6,567.1,559.1,558.2,553.8,554.4,547.7,550.7,542.1,536.4,535.8,538.04,536.2
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,41.23,,40,38,39,36.3,34.6,36.5,34.94,34.1
苹果,.3,.5,.3,.26,,.2,.2,.2,.2,.2,.2,.1,,.1,,,,,.02,
桃,,,,,,,,,,,24.74,25.8,26.3,26.3,25.7,25.6,25.9,26.8,26.76,26.3
菠萝,,,,,,,,,,,3.92,,4.4,3.7,4,4.4,4.2,4.1,4.08,3.7
葡萄,.9,1,1.4,1.55,,1.9,1.9,2.1,2.2,2.6,3.1,3.9,4.5,4.8,5,5.5,5.2,5.5,5.56,5.8
梨,7.4,10,13.5,15.98,,15.6,16.5,17.2,19.3,20.9,21.9,22.2,22.5,22.8,23,22.4,22.3,22.1,22.35,21.9
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,.24,.3,.6,.5,.5,.6,.5,.5,.55,.5
柑橘类,137.9,150.5,156.5,160.18,,164.8,162.9,152.6,148.6,137.9,164.2,163.8,164,165.6,170.3,170.2,170.4,173.5,175.17,175.4
