品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,188950	,235762	,301290	,395858	,448014	,516744	,571063	,659787	,692608	,746454	,797385	,764960	,837605	,819928	,855398	,851077	,884221	,882332	,906006	,882087	
水果,1105282	,1171776	,1537511	,1981277	,2393267	,2838125	,3343393	,3430433	,3941037	,3564358	,4681449	,4249325	,4416803	,4689002	,4793578	,4954033	,5172920	,5533692	,5640848	,5644799	
柿子,12281	,14558	,18255	,22559	,31252	,42048	,53600	,63617	,81776	,99896	,114572	,125244	,135110	,152424	,160475	,169886	,177025	,187829	,192705	,	
荔枝,35060	,38204	,	,	,	,	,	,	,	,	,119356	,	,128721	,173825	,160289	,133887	,110695	,163901	,127126	,147281	
苹果,85	,128	,176	,109	,157	,137	,131	,218	,257	,380	,311	,302	,151	,244	,198	,189	,201	,310	,300	,309	
桃,	,	,	,	,	,	,	,	,	,	,165616	,178057	,195809	,190248	,199653	,198336	,212800	,226214	,229173	,222371	
菠萝,23362	,23656	,26501	,31008	,43482	,51242	,49700	,47758	,41207	,30267	,36823	,	,39482	,40942	,37731	,39632	,40510	,40736	,41031	,39348	
葡萄,3790	,5706	,8061	,13333	,16620	,18978	,21650	,27503	,32449	,38702	,39291	,48775	,55801	,67449	,59066	,85010	,86808	,95912	,98817	,100171	
梨,14809	,17275	,26397	,31780	,40475	,48884	,59056	,72289	,81307	,96394	,110029	,125032	,129980	,142254	,147755	,152309	,164479	,169303	,183967	,185345	
龙眼,61771	,39408	,	,	,	,	,	,	,	,	,153722	,	,194785	,250822	,216452	,212758	,210074	,250627	,234378	,241138	
红枣,	,	,	,	,	,	,	,	,	,	,208	,132	,329	,133	,85	,52	,34	,18	,18	,31	
猕猴桃,	,	,	,	,	,	,	,	,	,	,2045	,3038	,5915	,3328	,3406	,9022	,3692	,3773	,3692	,3781	
柑橘类,583930	,579122	,792820	,976031	,1157246	,1316360	,1538981	,1464206	,1589142	,1306027	,1809935	,1931551	,1943977	,2068187	,2153154	,2266812	,2385521	,2565274	,2668299	,2722988	
