品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,.8,.6,1.1,1.51,.9,1.5,1.4,1.11,1.1,1.24,1.01,1,.8,.8,1.1,1.2,1.3,1.5,1.54,1.9
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,,,,,,,,,
苹果,.5,.5,.8,1.06,,1.4,1.3,.98,1,1.05,.83,.5,.6,.6,.7,1,1,1.1,.07,1.4
桃,,,,,,,,,,,,.1,.1,.1,.2,.1,.2,.2,.04,.3
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,,,,,,,,,,,,,,,,,.1,,,
梨,.3,,,.01,,.1,.1,.1,.1,.11,.09,.1,.1,.1,.1,.1,.1,,.03,.1
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,,,,,,,,,,
柑橘类,,,,,,,,,,,,,,,,,,,,
