品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,4879	,5522	,5652	,4857	,5594	,5077	,7742	,6316	,7154	,7418	,6989	,6453	,8600	,8434	,8671	,6889	,7082	,8474	,8747	,9484	
柿子,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
苹果,4005	,4317	,4024	,3283	,3003	,3049	,4837	,4265	,5506	,5299	,5405	,5072	,5577	,5327	,5674	,3934	,3994	,4423	,4427	,5124	
桃,	,	,	,	,	,	,	,	,	,	,	,619	,850	,1259	,1412	,1148	,1249	,1307	,1250	,1364	
菠萝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,	,	,	,	,	,	,	,	,	,	,	,	,	,318	,103	,114	,250	,289	,1286	,377	
梨,396	,690	,730	,465	,625	,775	,929	,1515	,492	,803	,646	,387	,464	,513	,836	,931	,987	,1140	,1420	,1228	
龙眼,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
红枣,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
猕猴桃,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
柑橘类,	,	,	,	,	,	,	,	,	,	,	,	,	,289	,96	,346	,439	,405	,365	,524	
