品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,54501	,7066	,6303	,7182	,8387	,8704	,10411	,10356	,11402	,9938	,10292	,8411	,8539	,8919	,8662	,8675	,8806	,7988	,7916	,6068	
水果,171663	,141756	,165321	,164716	,209708	,194637	,251408	,274973	,325724	,310986	,364269	,396621	,437820	,471787	,514229	,549745	,603213	,616836	,642161	,696147	
柿子,10418	,9303	,10873	,11952	,11765	,11313	,11260	,11726	,12326	,12957	,12656	,13339	,12135	,12615	,13652	,14023	,14497	,12718	,12770	,	
荔枝,41	,35	,	,	,	,	,	,	,	,	,69	,162	,430	,407	,426	,386	,193	,154	,250	,201	
苹果,4362	,3324	,3756	,3831	,5474	,4785	,5713	,6828	,7010	,7675	,7854	,9406	,9262	,10263	,10230	,10628	,11023	,12182	,16177	,15475	
桃,	,	,	,	,	,	,	,	,	,	,42323	,51317	,54254	,58865	,65468	,70621	,80805	,79920	,84796	,85549	
菠萝,3	,38	,127	,464	,134	,35	,7	,7	,20	,4	,2	,1	,1	,1	,3	,5	,	,3	,	,	
葡萄,3846	,3779	,4074	,5434	,6097	,6618	,6822	,7621	,9077	,10241	,11306	,14708	,15895	,17346	,21050	,22516	,32793	,36182	,41734	,46714	
梨,34361	,27769	,28278	,33197	,31782	,29115	,31592	,38972	,46114	,47677	,66606	,82385	,97867	,108368	,123740	,139412	,148008	,162872	,167719	,182099	
龙眼,43	,27	,	,	,	,	,	,	,	,	,23	,128	,433	,461	,467	,375	,178	,170	,430	,387	
红枣,1466	,1014	,1253	,1323	,1087	,1050	,970	,1080	,1021	,952	,1423	,1602	,1599	,1628	,1822	,1792	,1849	,1614	,1370	,1371	
猕猴桃,	,	,	,	,	,	,	,	,	,	,9937	,10581	,11297	,11827	,12057	,11053	,11465	,12385	,11783	,12716	
柑橘类,28546	,29180	,40395	,40138	,60283	,59326	,84632	,86624	,112731	,101340	,127929	,135279	,149820	,158101	,172181	,176950	,190650	,191050	,194240	,203690	
