品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,390.5,390.5,419.6,434.53,449.74,455.81,409.5,391.65,391.6,392.8,361.9,331.2,318.2,316.8,317,313.6,303.9,323.6,349.7,354.2
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,,,,,,,,,
苹果,220.1,218.7,234.9,251.4,,261.4,234.6,216.96,209,195.1,161.9,131.9,115.1,111.8,110.3,109.1,107.1,114,121.88,125.9
桃,,,,,,,,,,,15.31,18.3,19.3,19,20.1,21.2,24.5,27.4,26.65,25.1
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,8.2,9.8,11.1,10.79,,11.58,11.8,14.15,20.8,27.8,29.7,35.6,37.4,36.8,28.1,26.8,25.2,26.6,26.8,26.6
梨,61.5,62.5,69.9,76.08,,92.03,80.8,82.13,82.5,85.7,87.6,85.5,85.5,88.5,91.6,87.7,79.6,83.2,97.89,98.6
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,.01,,,.1,,.2,,.1,.01,
柑橘类,,,,,,,,,,,,,,,,,,,,
