品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,1011230	,1527272	,1888380	,1845589	,2199889	,2480339	,2641058	,2985505	,2566685	,2499660	,3379536	,2344015	,2678104	,3076521	,3292674	,3437027	,3661144	,4225182	,4772144	,5215623	
柿子,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
苹果,570542	,979434	,1196127	,1069137	,1277295	,1505993	,1611487	,1674628	,1469839	,1231479	,1134657	,1005142	,1089937	,1222119	,1299595	,1301399	,1514871	,1709138	,1948100	,2094719	
桃,	,	,	,	,	,	,	,	,	,	,130885	,185209	,229149	,311140	,346978	,417828	,439844	,461049	,506750	,537209	
菠萝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,89895	,121829	,146162	,158210	,153317	,185421	,193380	,275557	,307453	,430282	,396991	,522061	,586124	,613683	,581711	,587191	,493775	,614422	,642124	,634296	
梨,204839	,222916	,300099	,323985	,402963	,477330	,471870	,610898	,424605	,455404	,509942	,412724	,515892	,605679	,690345	,705232	,762452	,937944	,1103509	,1261402	
龙眼,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
红枣,	,2815	,3988	,3951	,1734	,4020	,6024	,7679	,5777	,14283	,11375	,15033	,19588	,52167	,71883	,90168	,109376	,119504	,115873	,150029	
猕猴桃,	,	,	,	,	,	,	,	,	,	,473	,	,67	,72	,	,39	,186	,250	,250	,261	
柑橘类,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
