品种,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,.3,.1,.1,.12,.12,.2,.2,.2,.2,.2,.2,.1,.09,.1
水果,76,89,90.2,97.6,111.3,147.4,164.8,164.7,179.3,189.3,206.2,216.7,230.88,248.7
柿子,,,,,,,,,,,,,,
荔枝,,,,,.3,.5,1.8,2.2,2.7,3.1,5,5,4.91,5.1
苹果,2,2.1,2.2,2.25,1.98,1.8,2.7,1.8,1.9,1.7,1.8,1.6,2.01,1.6
桃,,,,,4.63,5.6,8,9.3,10,10.4,10.8,10.6,10.76,10.4
菠萝,,,,,,,,,,,,,,
葡萄,1,1,1,1.17,1.47,1.7,2.6,2.1,2.3,2.6,2.7,2.5,3.93,4.7
梨,9.1,11.6,13.1,15.11,18.2,21.2,24.4,26.3,28,29,30.8,32.7,35.43,35.2
龙眼,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,
猕猴桃,,,,,1.27,2,2.5,1.5,1.6,1.5,1.8,2.2,2.53,3.8
柑橘类,56,60.2,60,63.15,68.8,92.6,96.3,98.1,108.9,109.9,113.9,120.3,126.33,138
