品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,334.3,379.9,477.8,607,685,702,691,663.84,649.32,664.76,680.11,703.8,750.5,788.5,817.5,860.5,884.9,950.7,1011.36,1083.3
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,,,,,,,,,
苹果,218.4,260.3,339.5,436,,502,488,455.37,413.63,395.46,374.29,369,401.5,412.1,426.3,462.2,484.9,530.9,564.93,601.5
桃,,,,,,,,,,,14.02,17.6,19.1,22,25.4,26.9,27.2,28.1,31.37,31.2
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,3.3,3.4,4.2,5,,5,5,4.33,4.38,5.31,6.87,10.3,11.4,12.7,13.9,14.7,15.1,17.7,23.85,28.8
梨,15.5,18.9,27.3,41,,55,54,52.04,52.01,55.58,57.95,57.2,57.3,59.8,59.6,60.4,55.1,52.2,51.61,49
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,16.57,16.3,15.9,16.3,16.1,19.7,22,27.7,38.34,47.2
柑橘类,14,10.5,9.8,9,,9,8,8.07,11.03,12.05,13.53,14.6,16.6,18.1,19.7,21.5,23.3,25.7,28.86,33.9
