品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,800608	,1146903	,1682246	,2198901	,2839552	,3621473	,3265529	,4307699	,4934916	,4937906	,4937300	,5146996	,6211394	,7356140	,7657393	,8819450	,9402310	,10676750	,11504460	,12385020	
柿子,129091	,123937	,131480	,129165	,135882	,131918	,90949	,99311	,113587	,117119	,82507	,130137	,146876	,140688	,173881	,175055	,230396	,277088	,299547	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
苹果,505200	,842953	,1309994	,1785640	,2337632	,2958884	,2636537	,3473510	,3992705	,3885700	,3912713	,3921630	,4617921	,5552054	,5601167	,6499755	,7015682	,7455054	,8051728	,8560132	
桃,	,	,	,	,	,	,	,	,	,	,97480	,143583	,153007	,216680	,280971	,326387	,391111	,441236	,485471	,593502	
菠萝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,17671	,18560	,21321	,30690	,40040	,48928	,39357	,41845	,37669	,41550	,58206	,61896	,89925	,110842	,139372	,168353	,185261	,216562	,258829	,322292	
梨,35775	,49269	,60890	,81446	,118538	,244382	,266063	,376370	,432356	,458306	,451236	,460171	,689816	,669327	,621224	,650028	,618962	,854119	,629939	,799909	
龙眼,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
红枣,32637	,32160	,35321	,39769	,46905	,43319	,48947	,56785	,52354	,79218	,58364	,93491	,75252	,131213	,188232	,280928	,158738	,514530	,594350	,500320	
猕猴桃,	,	,	,	,	,	,	,	,	,	,160357	,175738	,204697	,231679	,240319	,277609	,298097	,349801	,500286	,629341	
柑橘类,15881	,1977	,13196	,7123	,11183	,15169	,20072	,27672	,29588	,35155	,41655	,58877	,98601	,117530	,167573	,163237	,224334	,237309	,308028	,286765	
