品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,6.1,6.1,6.2,5.7,5.74,5.7,5.7,5.6,5.26,5.2,5.13,5.1,5.2,7.1,4.3,4.2,4.3,4.1,4.51,5.1
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,,,,,,,,,
苹果,4.9,4.9,5,4.57,,4.5,4.4,4.4,4.11,4,3.91,3.9,3.9,5.3,2.8,2.9,2.7,2.5,2.49,2.1
桃,,,,,,,,,,,,,,,,,,,,
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,,,,.01,,,,.04,.01,,.02,,.1,.1,,,,,.03,.1
梨,.9,1,1,1.01,,1,1,1,1.02,1.1,1.06,1.1,1.2,1.6,1.2,1.1,1.1,.9,.85,.8
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,,,,,,,,,,
柑橘类,,,,,,,,,,,,,,,,,,,,
