品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,21365	,26049	,27180	,25704	,26831	,29062	,27179	,24766	,24144	,22415	,17252	,16301	,14603	,14686	,14772	,13308	,13846	,13241	,14575	,14387	
柿子,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
苹果,14471	,17388	,18677	,17444	,17446	,18935	,18884	,16138	,15897	,14144	,9661	,9078	,8246	,7198	,7316	,5939	,5804	,5823	,5729	,5738	
桃,	,	,	,	,	,	,	,	,	,	,	,368	,340	,421	,412	,486	,479	,370	,533	,352	
菠萝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,77	,127	,69	,56	,72	,159	,189	,67	,106	,107	,117	,106	,74	,102	,80	,114	,112	,106	,109	,117	
梨,5148	,6632	,6236	,6460	,7116	,7807	,5891	,6585	,5931	,5963	,5525	,5228	,4418	,5362	,5105	,4912	,4894	,4680	,4835	,4428	
龙眼,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
红枣,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
猕猴桃,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
柑橘类,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
