品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,,,,,,,,,,,,,,,,,,,,
水果,22.8,28.9,22.3,44.85,55.5,60.23,60.3,59.6,52.1,48.38,170.4,48.7,41.4,39.5,39.5,37.6,40.9,41,35.34,36.2
柿子,,,,,,,,,,,,,,,,,,,,
荔枝,,,,,,,,,,,,,,,,,,,,
苹果,11.4,16,,27.62,,31.23,36.4,36.4,32.2,28.6,25.2,28.8,18.4,16.1,15.5,13.3,13.2,12,12,11.4
桃,,,,,,,,,,,,,,,,,,,,
菠萝,,,,,,,,,,,,,,,,,,,,
葡萄,1.2,1.3,1.9,1.89,,2.02,1.9,1.6,1.5,2.02,1.64,1.6,2.1,1.6,1.7,1.6,1.8,2.7,2.48,3
梨,1.3,1.5,2.7,4.96,,6.17,6.5,6.7,6.6,5.76,5.27,6.8,5.7,5.4,5.4,4.9,5.1,5.3,4.23,4.8
龙眼,,,,,,,,,,,,,,,,,,,,
红枣,,,,,,,,,,,,,,,,,,,,
猕猴桃,,,,,,,,,,,,,,,,,,,,
柑橘类,,,,,,,,,,,,,,,,,,,,
