品种,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
香蕉,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
水果,45758	,58031	,91988	,98620	,127005	,144632	,154949	,184918	,171960	,192079	,3571797	,319708	,401839	,424322	,461974	,471209	,517659	,593539	,493241	,466371	
柿子,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
荔枝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
苹果,21927	,33856	,15011	,64019	,75873	,78073	,96993	,102137	,96962	,112086	,109689	,183067	,169115	,160003	,177432	,159759	,150534	,138330	,140670	,117019	
桃,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
菠萝,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
葡萄,4359	,4271	,7693	,8941	,10154	,8621	,7916	,8157	,7249	,9611	,10513	,14506	,19122	,27404	,20720	,22728	,21847	,45062	,42206	,56732	
梨,8038	,7231	,9643	,10892	,13141	,10933	,12384	,28357	,29804	,26250	,27965	,44863	,35379	,47149	,48422	,49124	,46524	,47078	,41164	,37648	
龙眼,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
红枣,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
猕猴桃,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,312	,	,	,	,	
柑橘类,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	
