名称,A (微克),B1,B2,B6,C,E,生物素(微克),叶酸 (微克),泛酸,烟酸,钙,铁,磷,钾,钠,铜,镁,锌 (微克),硒 (微克),价格,
马铃薯,5,0.08,0.04,1.1,27,0.34,0,0,0,0,8,0.8,47,311,2.7,0.1,58,0.37,0.78,2.6,37013325.33
黄瓜,15,0.02,0.03,0.2,9,0.46,0,0,0,0,24,0.5,0,0,4.9,0,0,0.18,0.38,1.6,40530125.71
萝卜,3,0.03,0.06,0.6,18,1,0,0,0,0,56,0.3,0,0,60,0,0,0.13,0.6,2.2,42241680.96
辣椒,232,0,0,0,0,0,0,0,0,0,37,1.4,95,222,2.6,0.11,16,0.3,1.9,3,16215124.57
大蒜,47,0.11,0.08,0.5,35,0.81,0,0,0,0,29,1.4,0,0,5.1,0,0,0.46,1.24,7,18200551
甜椒,57,0.03,0.03,0.12,72,0.59,0,3.6,0,0.9,14,12,20,142,3.3,0.09,12,0.19,0.38,3.6,7737247.7
莲藕,3,0.09,0.03,0.05,44,0.73,0,10.3,0,0.3,39,1.4,58,243,44.2,0.11,19,0.23,0.39,3.8,6295677.32
茄子,8,0.02,0.04,0.6,5,1013,0,0,0,0,24,0.5,27,73,5.4,0.87,10,0.23,0.48,3.9,23967733.79
梨,100,0.03,0.03,0.03,4,1.46,57,5,0.09,0.2,3,0.7,11,115,0.7,0.08,10,0.1,0.98,5.3,11950000
芋,27,0.06,0.05,0.1,6,0.45,0,31.3,0,0.7,36,1,55,378,33.1,0.37,27,1.45,1.45,7.4,2907397.97
橙子,27,0.05,0.04,0.06,33,0.56,61,34,0.28,0.3,20,0.4,22,159,1.2,0.03,14,0.14,0.31,13.6,7005
葡萄柚,2,10,0,0.01,23,0,0,0,0,0,4,0.3,24,119,3,0.18,4,0.4,0.7,33.8,3257
2012年度人均需求量,269047.12,462.56,452.54,420.65,35310.76,4693.66,9972.48,135303.2,1762.55,4634.02,324717.91,5784.85,254450.14,693953.41,730906.81,683.14 ,5460.07,119519.36,17183.32,,
