"","X1991","X1992","X1993","X1994","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009"
"Á«Åº",1969794.68504269,199514,1042616,1037814,3030246.97296674,3327033.09113481,3714338.44452443,3911301.50587443,4091934.62309448,4665167.778899,5106376.42481832,7342000,7041000,7071000,7219000,5448337.22944566,7116000,7499000
"ÂÜ²·",12872930,10491700,10150870,12164340,20331843.4942638,22323169.2705769,24921845.8470603,26243395.5996861,27455377.4288778,31301561.2262764,34261909.0847762,38809000,38328000,39352000,40030000,36556340.4043622,39550000,40799000
"ÆÕÍ¨°×²Ë",7386142,6363326,6878734,7562329,12777662.1891744,14029122.1507613,15662275.1623214,16492810.5886837,17254487.4330485,19671643.4225926,21532090.7995867,21989288.1800444,22409439.4806013,22973815.3253313,23736489.2354519,22974039.1564193,30345000,29625000
"ÖñËñ",226174.278932885,152538,177288,317647.6,347936.731327132,382014.083034728,426484.966063761,449100.510067163,469841.029548135,535660.374406252,586320.500615088,598770.020705122,610210.773169407,625578.771144945,646346.440803694,625584.866082813,656484.09555171,685113.237707252
"À±½·",4598435,5378937,6491280,6757697,7804693.55205454,8569094.84457949,9566637.16414719,10073934.539122,10539172.5668575,12015589.8869123,13151965.3390246,8215000,7830000,14032581.6789566,14498428.7220629,14032718.3966929,14725830.0899582,15368020.6408953
"»Æ¹Ï",7579773,9745539,10748970,12560710,19508034.5783396,21418675.4954809,23912058.4750549,25180061.4615275,26342936.0153702,30033279.5169552,32873679.5231731,35513000,36553000,38171000,40400000,35075144.7042688,42194000,44204000
"²Ë¶¹",2605413,2726575,3218903,3595309,10358393.3345015,11372907.1268195,12696845.811276,13370131.1507325,13987595.3026958,15947097.1364317,17455295.2264839,26791000,27525000,28831000,29633000,18624231.1419102,19544129.3410772,20396444.9737076
"Ìð½·",2370642,2153585,2328754,2347726,3724106.27727249,4088849.82970806,4564839.51327086,4806902.74432367,5028896.83646325,5733387.66276125,6275623.29652755,6408875.49941939,6531330.45813113,6695820.29946382,6918104.99083707,6695885.53602648,7026612.37245184,7333041.55458419
"ôø¶¹",2697741,1962877,2412078,2616012,4322378.74471981,4745717.83897245,5298174.59980489,5579124.95054171,5836782.0832539,6654448.37597602,7283793.40630573,7250000,7569000,8257000,8720000,7771570.18708786,9353000,9592000
"Ý«ÜÄ",3154798,2732648,4156132,3471115,5445415.56190807,5978746.26427271,6674741.87696475,7028688.51199637,7353289.90464886,8383401.56718558,9176262.49501458,9371104.84516824,9550159.38554782,9790677.64015166,10115703.9491388,9790773.02953291,10274364.2398059,10722427.2414419
"´ó°×²Ë",35781180,26733690,29156510,30340030,53868055.7956123,59143959.4811751,66029004.3545656,69530374.7950379,72741451.29268,82931695.1560511,90774967.3935676,101974000,103463000,103083000,105060000,96853931.8700319,105455000,105873000
"´óËâ",4973358,4367341,5386340,4938906,8760322.64827194,9618319.43067116,10738003.6971236,11307416.0198189,11829619.1279905,13486813.2254796,14762329.752001,15556000,15666000,16541000,18320000,15750924.743869,18282000,17900000
"ºúÂÜ²·",3032613,2244263,3478764,3053038,6483161.40545399,7118130.21299574,7946763.3711581,8368162.46140922,8754623.91638472,9981046.41765036,10925004.7453032,13124000,13299000,13314000,14430000,11656624.0194139,14767000,15057000
"ÆäËû",16749340,13165890,19391620,15757630,19680545.972365,21608082.8677647,24123515.0687463,25402731.1255027,26575889.0889607,30298866.6470077,33164384.5790061,27242000,34515703.8418624,26968000,28720000,35385317.5248202,24278000,25795000
"Þ¬ÇÑ",8376218,7651891,10182500,10842870,14913737.13351,16374406.9042317,18280578.3425284,19249956.531234,20138964.8701117,22960203.0985955,25131666.2911914,25665294.5441009,26155683.6278032,26814407.6469698,27704579.733673,26814668.8964816,28139113.6717413,29366254.8788138
"¿à¹Ï",445902.962898941,243022.6,513329,523932.1,685957.838053632,753141.392991261,840815.812023067,885402.394220951,926292.362489062,1056055.30912815,1155931.83126822,1180476.08060111,1203031.54290074,1233329.57618485,1274273.0710731,1233341.59236488,1294259.47408195,1350701.87492718
"Üú°×",386804.538656719,292577,184182,630255,595043.377512676,653322.658287175,729377.015461921,768054.24748839,803524.801908588,916089.41996618,1002728.65604092,1024019.89613083,1043585.93608777,1069868.37366225,1105385.36047095,1069878.79725967,1122722.83529952,1171684.55710033
