"","X1991","X1992","X1993","X1994","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","avgc"
"Á«Åº",NA,0.0011834763884852,0.00529386437029064,0.00496452455440429,NA,NA,NA,NA,NA,NA,NA,0.0135881685584363,0.0127867762831723,0.0125257986990246,0.0123770821496038,NA,0.0120120829806036,0.0121296309625693,0.00965126721628778
"ÂÜ²·",0.0630726076326453,0.06223462626718,0.0515408635782034,0.0581897764128469,NA,NA,NA,NA,NA,NA,NA,0.0718255561950907,0.0696053914758457,0.0697094089101988,0.0686320263815817,NA,0.066761928314063,0.0659923741354666,0.0647564559303122
"ÆÕÍ¨°×²Ë",0.0361893707403832,0.0377459530320376,0.0349266506895221,0.0361754302880706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0512235326091085,0.0479184314263388,0.0406965614642435
"ÖñËñ",NA,0.000904824329855324,0.000900176696386864,0.00151951053835041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00110817052153087
"À±½·",0.0225306349431888,0.0319067580954189,0.0329593598310214,0.032326363575481,NA,NA,NA,NA,NA,NA,NA,0.0152038687969974,0.0142196361734469,NA,NA,NA,NA,NA,0.0248577702359257
"»Æ¹Ï",0.0371380912017325,0.0578085512774123,0.0545777057903609,0.0600858662686681,NA,NA,NA,NA,NA,NA,NA,0.0657255012279692,0.0663819107341001,0.0676173472126245,0.0692663968477617,NA,0.0712251024850461,0.07149996093738,0.0621326433983055
"²Ë¶¹",0.0127655624531473,0.0161734872436723,0.0163439232690863,0.017198650057882,NA,NA,NA,NA,NA,NA,NA,0.0495833048010172,0.0499866520656609,0.0510721683342636,0.0508062162819238,NA,NA,NA,0.0329912455633317
"Ìð½·",0.0116152711700809,0.0127746273349033,0.0118242074050003,0.0112306669345503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0118611932111337
"ôø¶¹",0.0132179355894501,0.0116433863438188,0.0122472835469261,0.0125140495393358,NA,NA,NA,NA,NA,NA,NA,0.0134179000338686,0.0137456483009986,0.0146267175587394,0.0149505688245664,NA,0.0157882254240564,0.0155150580334664,0.0137666773195227
"Ý«ÜÄ",0.0154573462618265,0.0162095110420386,0.0211026870036761,0.0166045511514212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0173435238647406
"´ó°×²Ë",0.175314580812065,0.158578800946715,0.14804166582042,0.14513566392086,NA,NA,NA,NA,NA,NA,NA,0.188727853524651,0.187893514356748,0.182604568984804,0.18012692209965,NA,0.178012115053338,0.171249555794119,0.171568524131337
