"Iteration","LogProbability","CurrentDecryptedText....current.decryted.text","CorrectText....correct.text"
1,-180.218266945586,"lsps bk kfvs kjvhys zsrz","here is some sample text"
2,-180.218266945586,"lsps bk kfvs kgvhys zsrz","here is some sample text"
3,-180.218266945586,"msps bk kfvs kgvhys zsrz","here is some sample text"
4,-180.218266945586,"msps bk kfvs kgvhes zsrz","here is some sample text"
5,-180.218266945586,"msps bk kfvs kgvhes zsrz","here is some sample text"
6,-180.218266945586,"msks bp pfvs pgvhes zsrz","here is some sample text"
7,-180.218266945586,"msks bp pfvs pgvues zsrz","here is some sample text"
8,-180.218266945586,"msks bp pfus pguves zsrz","here is some sample text"
9,-180.218266945586,"msks bp pfus pguvts zsrz","here is some sample text"
10,-180.218266945586,"msks bp pfus pguvws zsrz","here is some sample text"
11,-180.218266945586,"msks tp pfus pguvws zsrz","here is some sample text"
12,-180.218266945586,"nsks tp pfus pguvws zsrz","here is some sample text"
13,-180.218266945586,"nsks tp pfus pguvws zsrz","here is some sample text"
14,-180.218266945586,"nsks tp pfus pguvws zsrz","here is some sample text"
15,-180.218266945586,"nsks tp pfus pguvws zsrz","here is some sample text"
16,-180.218266945586,"nsks tp pfus pguvbs zsrz","here is some sample text"
17,-180.218266945586,"nsks tp pfus pguvbs zsrz","here is some sample text"
18,-180.218266945586,"nsks tp pfus pguvxs zsrz","here is some sample text"
19,-180.218266945586,"nsks tp pfbs pgbvxs zsrz","here is some sample text"
20,-180.218266945586,"niki tp pfbi pgbvxi zirz","here is some sample text"
21,-180.218266945586,"tiki np pfbi pgbvxi zirz","here is some sample text"
22,-180.218266945586,"tidi np pfbi pgbvxi zirz","here is some sample text"
23,-180.218266945586,"tidi np pfbi pcbvxi zirz","here is some sample text"
24,-180.218266945586,"tidi np pfbi pcbwxi zirz","here is some sample text"
25,-180.218266945586,"tidi np pfbi pcbwxi lirl","here is some sample text"
26,-180.218266945586,"tidi nj jfbi jcbwxi lirl","here is some sample text"
27,-180.218266945586,"tidi hj jfbi jcbwxi lirl","here is some sample text"
28,-180.218266945586,"tidi hj jwbi jcbfxi lirl","here is some sample text"
29,-180.218266945586,"tidi hj jwbi jcbfyi lirl","here is some sample text"
30,-180.218266945586,"eidi hj jwbi jcbfyi lirl","here is some sample text"
31,-180.218266945586,"eisi hj jwbi jcbfyi lirl","here is some sample text"
32,-180.218266945586,"eici hj jwbi jsbfyi lirl","here is some sample text"
33,-180.218266945586,"eici hj jwbi jsbzyi lirl","here is some sample text"
34,-180.218266945586,"yici hj jwbi jsbzei lirl","here is some sample text"
35,-180.218266945586,"yici hj jwbi jsbzei lirl","here is some sample text"
36,-180.218266945586,"ypcp hj jwbp jsbzep lprl","here is some sample text"
37,-180.218266945586,"ypcp hj jwbp jsbzep lprl","here is some sample text"
38,-180.218266945586,"yrcr hj jwbr jsbzer lrpl","here is some sample text"
39,-180.218266945586,"yrcr hj jwzr jszber lrpl","here is some sample text"
40,-180.218266945586,"yrcr hj jwzr jszber lrdl","here is some sample text"
41,-180.218266945586,"yrcr hj jwzr jmzber lrdl","here is some sample text"
42,-180.218266945586,"yrcr hj jwzr jmzber lrdl","here is some sample text"
43,-180.218266945586,"yrcr hj jwzr jmzber lrdl","here is some sample text"
44,-180.218266945586,"lrcr hj jwzr jmzber yrdy","here is some sample text"
45,-180.218266945586,"lrcr hj jwzr jmzber yrdy","here is some sample text"
46,-180.218266945586,"lrcr hj jwzr jmzber yrdy","here is some sample text"
